year,rainfall
1901,952.3
1902,1206.2
1903,1016.3
1904,1269.5
1905,1498.5
1906,1265.1
1907,1126.4
1908,737.5
1909,1390.5
1910,1398.5
1911,1449.2
1912,1129.4
1913,1529.7
1914,1059.8
1915,1349.4
1916,1504.6
1917,1334.1
1918,1411.7
1919,1252.7
1920,1123.9
1921,1272.2
1922,1449.2
1923,982.8
1924,1456.3
1925,1191.5
1926,1121.8
1927,1100.2
1928,1249.8
1929,1359.2
1930,1114.3
1931,1146.3
1932,926.9
1933,1392.6
1934,1226.1
1935,1240.4
1936,1572.5
1937,1306.4
1938,1506.7
1939,1243.2
1940,1088.3
1941,1223.1
1942,1252.5
1943,1169.9
1944,1228.8
1945,1242.9
1946,1393.7
1947,1092.1
1948,1299.2
1949,1444.4
1950,1124.6
1951,850.2
1952,1206.8
1953,1378.7
1954,1050.5
1955,1244.2
1956,1493.4
1957,966.9
1958,1167.4
1959,1179.6
1960,1247.9
1961,1258.1
1962,1178.1
1963,1326.1
1964,1122.5
1965,1002.7
1966,767
1967,999.9
1968,1140.1
1969,1288.6
1970,1074.7
1971,1432.6
1972,717.9
1973,1189
1974,1235.2
1975,1069.1
1976,1161.7
1977,1147.5
1978,1290.8
1979,1001.9
1980,1252.2
1981,1364.7
1982,933.5
1983,1104.2
1984,1426.2
1985,1455
1986,1322.1
1987,1660.4
1988,1337.4
1989,1269.9
1990,1239.4
1991,1045.7
1992,797.6
1993,1208.3
1994,969.4
1995,1111.9
1996,1107.2
1997,1303.7
1998,1332.5
1999,1402.7
2000,1207
2001,1247
2002,1105.8
2003,1353.9
2004,1147.8
2005,907.8
2006,1052.8
2007,1600.2
2008,1197.7
2009,889.3
2010,629.2
2011,1097.1
2012,1032.4
2013,1069.9
2014,1061
2015,872.7
